Timestamp,Open,High,Low,Close,Volume
2023-04-28 00:00:00,5.741,6.16,5.673,6.045,4281323.65
2023-04-29 00:00:00,6.046,6.82,6.014,6.488,5523723.76
2023-04-30 00:00:00,6.489,6.683,6.224,6.404,3443359.52
2023-05-01 00:00:00,6.405,6.492,5.628,5.765,4641313.0
2023-05-02 00:00:00,5.764,5.838,5.622,5.724,1968250.16
2023-05-03 00:00:00,5.725,5.943,5.539,5.939,2171721.89
2023-05-04 00:00:00,5.94,6.203,5.795,5.911,2533938.47
2023-05-05 00:00:00,5.911,6.093,5.712,5.943,2002977.86
2023-05-06 00:00:00,5.945,5.975,5.506,5.591,1799905.16
2023-05-07 00:00:00,5.593,5.714,5.507,5.543,971793.57
2023-05-08 00:00:00,5.542,5.81,5.144,5.331,2587008.51
2023-05-09 00:00:00,5.33,5.354,5.154,5.28,1403096.04
2023-05-10 00:00:00,5.282,5.475,5.05,5.288,2123219.21
2023-05-11 00:00:00,5.287,5.296,4.911,5.005,1984989.05
2023-05-12 00:00:00,5.003,5.239,4.933,5.23,1409087.58
2023-05-13 00:00:00,5.23,5.242,5.09,5.148,885281.01
2023-05-14 00:00:00,5.147,5.47,5.07,5.194,1047505.22
2023-05-15 00:00:00,5.191,5.388,5.115,5.234,1139795.55
2023-05-16 00:00:00,5.233,5.292,5.157,5.232,815753.99
2023-05-17 00:00:00,5.232,5.421,5.117,5.38,991589.03
2023-05-18 00:00:00,5.382,5.428,5.134,5.269,951964.46
2023-05-19 00:00:00,5.271,5.45,5.214,5.313,814183.91
2023-05-20 00:00:00,5.313,5.313,5.179,5.223,574871.49
2023-05-21 00:00:00,5.225,5.234,4.991,5.054,835540.49
2023-05-22 00:00:00,5.052,5.146,4.969,5.075,952333.93
2023-05-23 00:00:00,5.075,5.207,5.013,5.041,777753.97
2023-05-24 00:00:00,5.041,5.041,4.76,4.817,1238405.68
2023-05-25 00:00:00,4.818,4.888,4.701,4.819,913406.18
2023-05-26 00:00:00,4.818,4.924,4.74,4.824,872028.68
2023-05-27 00:00:00,4.824,5.032,4.804,4.907,1036900.47
2023-05-28 00:00:00,4.906,5.052,4.839,4.993,1332655.35
2023-05-29 00:00:00,4.993,5.023,4.836,4.875,1039168.69
2023-05-30 00:00:00,4.875,4.956,4.806,4.828,1184450.46
2023-05-31 00:00:00,4.827,4.842,4.622,4.679,1374693.97
